filename,URL,date,n_ads
AA00047511_01182.pdf,https://dloc.com/AA00047511/01182/pdf/0,1816-01-16,
AA00047511_01194.pdf,https://dloc.com/AA00047511/01194/pdf/0,1816-02-27,
AA00047511_01203.pdf,https://dloc.com/AA00047511/01203/pdf/0,1816-03-30,
AA00047511_01206.pdf,https://dloc.com/AA00047511/01206/pdf/0,1816-04-09,
AA00047511_01209.pdf,https://dloc.com/AA00047511/01209/pdf/0,1816-05-04,
AA00047511_01220.pdf,https://dloc.com/AA00047511/01220/pdf/0,1816-06-11,
AA00047511_01229.pdf,https://dloc.com/AA00047511/01229/pdf/0,1816-07-13,
AA00047511_01237.pdf,https://dloc.com/AA00047511/01237/pdf/0,1816-08-10,
AA00047511_01246.pdf,https://dloc.com/AA00047511/01246/pdf/0,1816-09-10,3
AA00047511_01256.pdf,https://dloc.com/AA00047511/01256/pdf/0,1816-10-15,
AA00047511_01264.pdf,https://dloc.com/AA00047511/01264/pdf/0,1816-11-16,0
AA00047511_01273.pdf,https://dloc.com/AA00047511/01273/pdf/0,1816-12-17,
